text,id,break_after,required,type,options
Is Mark Zuckerburg the current CEO of Facebook.com?,16,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Beijing the capital of Japan?,17,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Chicago the capitol of Illinois?,18,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did the TV show American Idol run for more than 10 seasons?,19,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did WalMart report a higher revenue than Amazon.com in 2015?,20,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was Joe Biden less than 35 years old when he was first elected as a U.S. Senator?,21,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did more than half of the Fortune 500 companies recruit at the University of Illinois at Urbana-Champaign in 2010-11?,22,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Is the Great Pyramid of Giza located in Cairo, Egypt?",23,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Does the text of Lincoln's Gettysburg address contain an even number of words?,24,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did Albert Einstein invent the atom bomb? Z,25,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Illinois among the top 20 states in the U.S. in terms of area?,26,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was United Airlines founded after World War II?,27,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was Brazil a colony of Great Britain?,28,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Does the U.S. government spend more than 4% of its budget on foreign aid?,29,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Are there currently more than 6 monarchies in Europe?,30,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Arizona larger than Nevada in terms of area?,31,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did Liam Neeson win an Academy Award for best actor for his role in Schindler's List?,32,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Monopoly the most popular board game of all time?,33,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did Fidel Castro die in 2010? I,34,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did India gain its independence from Great Britain in 1947?,35,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was the French military involved in the 2011 Libyan conflict?,36,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Have more than 50 Americans ever been in space in the last 40 years?,37,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did World War I end in 1918?,38,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was 2016 the warmest year on record? N,39,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is the number of courses offered in University of Illinois at Urbana-Champaign more than 1500?,40,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did the Great Chicago Fire occur after 1900?,41,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was James Monroe the fifth U.S. President?,42,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Does France share a border with Poland?,43,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was Chicago's yearly total precipitation greater in 1990 than in 1991?,44,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is the number of daily visitors to the Illini Union less than 5000?,45,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was America's first settlement established by Vikings?,46,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Massachusetts larger than Greece in terms of area?,47,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did Wisconsin lose the Rose Bowl in January 2012?,48,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Have more than 5 women won the Nobel Prize since the beginning of this award?,49,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was economics among the original fields for which a Nobel Prize was awarded?,50,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did the U.S. win the most total number of medals in the 2012 Summer Olympics?,51,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was Bill Clinton ever a governor of Kentucky?,52,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Texas the largest U.S. state in terms of area?,53,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Does the Willis Tower, formerly known as the Sears Tower, have more than 70 floors?",54,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Does the Mississippi river touch more than seven states?,55,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was Cleopatra the last pharaoh of ancient Egypt?,56,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did King Henry VIII of England have less than three wives during his lifetime?,57,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is the African elephant the largest animal in the world?,58,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Does Pluto classify as a planet?,59,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Saturn the only planet in our solar system that has rings?,60,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is planet Earth the third planet from the sun?,61,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is the tiger the largest species of cat?,62,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Does India have the highest populated country in the world?,63,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Does Brazil have the more than 50% of the rainforests in the world?,64,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Is the highest waterfall in the world, Angel Falls, located in Venezuala?",65,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Does an adult human have more than 400 bones?,66,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is the largest organ in a human the liver?,67,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is the largest primate in the world the gorilla?,68,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Does the cheetah reach speeds of over 90 mph?,69,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is the number of dog breeds recognized by the American Kennel Club an even number?,70,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Do giraffes have an odd number of neck bones?,71,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is English the official language of the Bahamas?,72,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did World War I begain in 1914?,73,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did the Hundred Years' War include England and France?,74,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is wasabi a condiment found in French cuisine?,75,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Pho a popular noodle soup from Vietnam?,76,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is a whiskey made in Scotland called Scotch Whiskey?,77,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was the fortune cookie invented in China?,78,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did the popular soda Coca-Cola once contain the drug cocaine?,79,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Vatican City the smallest country in the world?,80,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
